date,no1,no2,no3,no4,no5
2019-01-04 23:00:00,1.1206,0.2942,1.9197,2.1152,-0.7702
2019-01-05 00:00:00,0.4453,3.0434,0.2976,-0.6749,1.4817
2019-01-05 01:00:00,0.4707,-0.9724,-1.4308,-0.8246,-1.5883
2019-01-05 02:00:00,0.0518,0.6988,0.1605,-0.6601,-0.1763
2019-01-05 03:00:00,1.2269,-0.9428,-0.2377,0.9253,-0.1521
2019-01-05 04:00:00,-0.6124,-0.295,-1.1607,0.7072,0.8898
2019-01-05 05:00:00,0.1056,0.1634,-0.0909,0.9937,0.3829
2019-01-05 06:00:00,-0.6274,-0.0409,2.0437,0.8839,-0.955
2019-01-05 07:00:00,-1.975,-0.1287,-0.9134,-0.5306,-0.2569
2019-01-05 08:00:00,-2.5174,-0.398,0.653,0.2268,-0.6553
2019-01-05 09:00:00,2.0996,0.7031,1.9018,1.2044,1.806
2019-01-05 10:00:00,0.1075,1.1537,0.8915,0.9381,-0.984
2019-01-05 11:00:00,0.4635,-0.6244,-0.1311,1.5118,0.523
2019-01-05 12:00:00,1.3074,-0.2675,-1.0745,0.7583,1.829
2019-01-05 13:00:00,-0.0426,1.047,-0.7514,-1.6213,0.7723
2019-01-05 14:00:00,-0.2502,-0.7611,0.5284,1.3631,-1.6116
2019-01-05 15:00:00,0.7353,0.3028,1.8244,-0.0791,-0.6538
2019-01-05 16:00:00,-0.7878,0.2958,-0.876,0.3444,0.3501
2019-01-05 17:00:00,0.2813,0.7989,0.5274,0.0606,-1.8124
2019-01-05 18:00:00,-1.0753,-0.429,0.9027,0.7265,-0.3353
2019-01-05 19:00:00,0.3559,-1.0134,1.3714,1.3153,-2.7583
2019-01-05 20:00:00,1.707,-0.5549,-0.3412,0.086,-0.1027
2019-01-05 21:00:00,1.8973,1.0289,0.3907,-1.3841,0.0781
2019-01-05 22:00:00,-1.2464,2.084,-0.5793,-0.7175,-0.8318
2019-01-05 23:00:00,-0.155,0.9569,-1.2414,1.0832,-1.0134
2019-01-06 00:00:00,0.0096,-0.7192,-0.6109,-0.5171,-0.3002
2019-01-06 01:00:00,1.2626,-0.2436,0.5319,-0.8165,-1.8261
2019-01-06 02:00:00,-0.796,-1.6806,-0.2502,-0.1586,0.8735
2019-01-06 03:00:00,1.7257,1.9596,0.6958,1.6733,0.4499
2019-01-06 04:00:00,0.1804,0.6901,1.0429,-0.2059,-0.6903
2019-01-06 05:00:00,1.2005,1.0397,-0.0387,-0.0287,3.1137
2019-01-06 06:00:00,0.4387,-0.2288,0.509,-1.1904,-2.3346
2019-01-06 07:00:00,-0.4641,0.493,1.3234,-0.1768,1.9117
2019-01-06 08:00:00,-1.5907,-0.3911,0.887,-1.6019,-1.7674
2019-01-06 09:00:00,-1.0148,2.2373,-0.7789,1.3988,0.6716
2019-01-06 10:00:00,-0.9264,-0.3323,-0.2344,0.9603,-1.0692
2019-01-06 11:00:00,-0.5395,-0.1736,1.2582,0.1196,0.5957
2019-01-06 12:00:00,0.8468,-1.0652,-0.3959,-0.2231,0.8987
2019-01-06 13:00:00,-0.8942,0.5198,0.0579,0.8412,-1.1142
2019-01-06 14:00:00,0.2574,0.952,-0.1151,-0.6473,-0.8855
2019-01-06 15:00:00,0.2343,0.1468,0.9807,-0.5174,0.5029
2019-01-06 16:00:00,-1.4256,-0.1923,0.4987,-0.3389,0.9279
2019-01-06 17:00:00,-0.028,-1.1744,-0.1043,-1.776,0.0423
2019-01-06 18:00:00,-0.9883,0.6092,-0.4753,-0.5698,-1.1595
2019-01-06 19:00:00,2.4064,0.1483,-0.7838,2.2839,-0.183
2019-01-06 20:00:00,-1.4559,0.7128,-0.1423,-0.0334,-0.1138
2019-01-06 21:00:00,-0.6066,-1.2245,-0.7359,2.747,-0.7054
2019-01-06 22:00:00,-0.9106,0.043,-0.0962,1.7612,-0.0487
2019-01-06 23:00:00,1.7166,-0.0094,-1.5198,-0.2932,1.9836
2019-01-07 00:00:00,-0.0777,0.1935,0.1546,-0.7411,0.5621
2019-01-07 01:00:00,0.2934,0.7092,-0.591,-1.8964,0.2961
2019-01-07 02:00:00,-0.5385,1.736,-0.057,0.4829,-2.2087
2019-01-07 03:00:00,-1.2347,-1.0361,2.4946,1.0101,-0.2478
2019-01-07 04:00:00,-1.1947,-1.4234,1.0224,-0.2556,-0.9196
2019-01-07 05:00:00,-0.8517,-0.3259,-0.9657,-0.0542,0.035
2019-01-07 06:00:00,0.145,0.3003,0.1358,0.833,-1.5144
2019-01-07 07:00:00,-1.6775,0.7828,0.7369,0.0668,-0.5224
2019-01-07 08:00:00,-0.3823,-0.199,0.2473,0.6465,-1.6613
2019-01-07 09:00:00,-1.0541,0.045,0.903,-1.1105,0.4844
2019-01-07 10:00:00,-0.7357,-1.1146,-0.2372,1.0722,0.5759
2019-01-07 11:00:00,0.4267,0.8513,0.5845,-0.6297,-0.0337
2019-01-07 12:00:00,0.4247,-1.5,0.2519,-0.4371,0.1867
2019-01-07 13:00:00,0.4551,0.641,-0.5317,0.8824,0.9963
2019-01-07 14:00:00,2.0244,-1.5473,-0.7386,-0.0373,1.035
2019-01-07 15:00:00,0.3629,-1.2278,-0.5204,-1.2098,-0.1501
2019-01-07 16:00:00,0.0047,1.0778,-0.0559,-0.616,-0.1728
2019-01-07 17:00:00,-0.156,-0.9873,0.5346,-0.5318,0.9135
2019-01-07 18:00:00,0.3562,0.4478,0.7866,1.879,-0.5203
2019-01-07 19:00:00,1.3409,-0.2773,-0.8365,-0.3349,0.1432
2019-01-07 20:00:00,-1.822,1.4896,-0.3744,1.3052,-0.3243
2019-01-07 21:00:00,-0.8134,1.6496,-2.0533,-1.2364,-0.0219
2019-01-07 22:00:00,1.2621,-0.601,1.5603,0.836,0.1741
2019-01-07 23:00:00,-0.2822,0.6495,-1.2938,0.9515,1.0019
2019-01-08 00:00:00,-0.4163,-0.2002,0.4849,-1.6735,0.3269
2019-01-08 01:00:00,-0.5692,-2.9152,1.2785,-0.6058,-0.6325
2019-01-08 02:00:00,-1.4991,0.4904,0.2342,-1.1601,-0.3584
2019-01-08 03:00:00,0.9587,-0.1512,-0.989,-0.2199,-1.878
2019-01-08 04:00:00,1.121,-2.134,-1.1552,-0.2191,0.9918
2019-01-08 05:00:00,-0.461,0.7704,-2.8455,-0.0336,-1.9548
2019-01-08 06:00:00,0.0319,0.3543,-0.8309,-1.0761,-0.5867
2019-01-08 07:00:00,1.7265,0.3505,-0.4915,-0.6355,0.6042
2019-01-08 08:00:00,-1.3111,-1.7929,1.5101,1.0463,-0.974
2019-01-08 09:00:00,1.5954,-1.4488,-1.3136,0.4615,0.6958
2019-01-08 10:00:00,-0.8164,-0.8547,0.9936,0.4008,0.3817
2019-01-08 11:00:00,0.1054,-0.2594,-0.7827,0.0887,-0.2893
2019-01-08 12:00:00,0.3382,-1.1414,-0.8144,1.4085,-0.5853
2019-01-08 13:00:00,1.7623,-0.3303,0.0811,-0.02,-0.9907
2019-01-08 14:00:00,0.956,-1.3187,-1.669,1.1545,1.2562
2019-01-08 15:00:00,0.1322,-0.6104,-0.1697,0.8294,0.1092
2019-01-08 16:00:00,0.0059,-0.6816,0.3019,-0.1448,-0.5484
2019-01-08 17:00:00,-0.7705,1.285,1.2295,-0.508,-0.4792
2019-01-08 18:00:00,0.5797,-0.6669,-0.1354,-0.5902,0.3663
2019-01-08 19:00:00,0.7009,0.6428,1.5163,-0.5917,-0.9067
2019-01-08 20:00:00,0.9443,0.3297,1.4896,0.9498,1.5443
2019-01-08 21:00:00,-1.0422,-0.6578,1.4905,-0.4847,1.3773
2019-01-08 22:00:00,1.8649,-1.1025,1.3421,-2.1814,0.7349
2019-01-08 23:00:00,0.1295,-0.578,0.4586,0.3624,-0.499
2019-01-09 00:00:00,0.1494,1.0348,0.5916,0.507,0.6916
2019-01-09 01:00:00,0.7933,-1.1068,0.8028,-1.1522,0.0913
2019-01-09 02:00:00,0.3409,0.4912,-0.7606,0.5036,0.1029
2019-01-09 03:00:00,0.1531,-0.5227,0.2889,0.9292,0.1272
2019-01-09 04:00:00,0.5921,-1.5626,0.2114,-0.3033,0.6264
2019-01-09 05:00:00,-1.0618,2.0251,-0.3382,-1.8799,-1.4036
2019-01-09 06:00:00,0.1271,-0.91,2.159,0.3752,-0.3369
2019-01-09 07:00:00,1.195,0.1167,0.0359,-1.4367,-0.6949
2019-01-09 08:00:00,0.569,0.203,-1.985,-0.6238,-0.3902
2019-01-09 09:00:00,-0.6686,-2.0398,2.5621,1.8147,-2.2507
2019-01-09 10:00:00,-0.8674,-0.4749,-2.296,0.4105,-0.7763
2019-01-09 11:00:00,1.2193,-2.1475,-2.0274,0.1777,0.1448
2019-01-09 12:00:00,0.1746,0.4759,0.2402,-0.403,-0.869
2019-01-09 13:00:00,-0.0658,-2.2349,0.5059,-1.4042,0.6109
2019-01-09 14:00:00,1.5947,1.0776,0.1199,-0.4205,1.1809
2019-01-09 15:00:00,0.4709,0.2643,1.5246,-0.7876,-0.4943
2019-01-09 16:00:00,-2.0359,-0.6334,1.938,0.6891,-0.4637
2019-01-09 17:00:00,-1.0135,-2.0755,0.4709,0.6673,-2.1895
2019-01-09 18:00:00,1.3057,-0.0181,0.6224,1.4262,1.3656
2019-01-09 19:00:00,0.867,0.6635,1.5093,1.0161,-0.7696
2019-01-09 20:00:00,-0.8827,-1.2507,-1.0425,0.5893,-0.8297
2019-01-09 21:00:00,-0.0,-1.048,2.5141,-0.2749,1.1905
2019-01-09 22:00:00,0.9251,-1.7186,-0.6259,-1.0234,-0.0047
2019-01-09 23:00:00,0.0089,2.1698,-1.1514,1.6526,-1.236
2019-01-10 00:00:00,-2.3408,0.1528,1.6285,-1.3249,-1.3207
2019-01-10 01:00:00,1.0566,1.3215,-1.2835,-0.6723,1.4198
2019-01-10 02:00:00,0.8638,-1.1837,0.336,-0.2306,0.174
2019-01-10 03:00:00,0.0137,-0.1514,1.7554,-0.0444,-0.0774
2019-01-10 04:00:00,0.5081,-0.4551,0.7153,-2.1191,-1.0464
2019-01-10 05:00:00,0.3819,-0.8153,0.1604,1.4266,-1.422
2019-01-10 06:00:00,1.0558,-1.5791,-1.2513,0.6312,0.3871
2019-01-10 07:00:00,0.1994,1.2127,-1.8165,0.6196,-0.5599
2019-01-10 08:00:00,-1.4376,0.0919,-3.1785,-1.2081,-0.8248
2019-01-10 09:00:00,-0.955,-0.5444,-0.3029,-0.7029,1.0467
2019-01-10 10:00:00,0.9412,-1.6942,-0.6802,1.1011,-0.0712
2019-01-10 11:00:00,-0.4944,-0.9217,-0.6727,-0.8555,-1.9187
2019-01-10 12:00:00,-0.5928,0.3502,-0.982,-0.4301,0.7791
2019-01-10 13:00:00,-1.2479,-0.8925,1.3516,-0.8316,-0.6929
2019-01-10 14:00:00,-0.201,-0.4367,-0.3338,0.4045,1.0055
2019-01-10 15:00:00,-0.9424,0.6236,-1.0546,0.9488,0.2209
2019-01-10 16:00:00,0.2023,-0.4323,-1.172,-1.807,-0.2866
2019-01-10 17:00:00,-1.3439,0.0529,1.2398,-1.0465,-0.0373
2019-01-10 18:00:00,-0.3581,0.7429,-1.1083,1.2525,1.0386
2019-01-10 19:00:00,-1.6291,2.7329,-0.1403,1.6354,1.2799
2019-01-10 20:00:00,-0.7292,-1.0334,1.49,1.3625,0.732
2019-01-10 21:00:00,1.0872,-0.2982,-0.7028,0.4809,0.1568
2019-01-10 22:00:00,-1.5327,-0.2807,-0.8851,1.4064,0.9336
2019-01-10 23:00:00,-1.6692,-0.7329,-0.6446,-0.9353,0.174
2019-01-11 00:00:00,-1.5044,0.3022,-0.0728,2.2775,-0.4669
2019-01-11 01:00:00,-2.5341,-0.633,0.1533,0.0488,0.3286
2019-01-11 02:00:00,-0.5621,-1.8206,-1.108,0.5006,-2.2984
2019-01-11 03:00:00,-0.6911,-0.2677,-0.6952,1.1788,0.8081
2019-01-11 04:00:00,0.6985,0.6805,1.2068,-0.592,1.2637
2019-01-11 05:00:00,-0.4563,-1.2533,2.2271,1.4943,-0.3035
2019-01-11 06:00:00,1.0579,0.1424,0.315,-0.3186,0.2936
2019-01-11 07:00:00,-0.4558,-0.6595,0.4065,0.7015,-0.8708
2019-01-11 08:00:00,-0.4877,-0.3189,-1.3006,-0.9554,1.0091
2019-01-11 09:00:00,0.2695,0.7669,-0.1275,0.8738,-1.0259
2019-01-11 10:00:00,-0.7631,1.0143,1.1114,1.684,-0.7863
2019-01-11 11:00:00,0.2924,0.52,-1.5681,-0.907,0.0674
2019-01-11 12:00:00,0.3637,-0.4087,0.3568,-0.4059,1.4798
2019-01-11 13:00:00,0.2166,1.0308,0.4238,-0.7297,0.6392
2019-01-11 14:00:00,0.9395,0.6642,-1.8471,-1.0451,-0.9301
2019-01-11 15:00:00,-1.0213,0.3306,1.8194,-0.1746,0.5704
2019-01-11 16:00:00,1.6633,-0.8883,-0.7574,-0.4051,0.7411
2019-01-11 17:00:00,0.7987,0.5872,-0.1484,-2.4036,1.1616
2019-01-11 18:00:00,1.3767,0.4847,0.6954,-0.929,1.778
2019-01-11 19:00:00,-1.967,-0.8935,-0.5191,-0.3114,-0.8787
2019-01-11 20:00:00,0.2444,-1.6839,1.8028,-0.298,-0.6724
2019-01-11 21:00:00,0.4546,0.4768,0.9627,-1.1516,-1.716
2019-01-11 22:00:00,-0.2721,1.3632,-0.3745,0.1674,0.5197
2019-01-11 23:00:00,0.8048,-0.4645,0.8639,0.9121,-0.1925
2019-01-12 00:00:00,-0.9103,0.5694,0.2211,-0.2168,0.8179
2019-01-12 01:00:00,-1.6807,-1.7448,0.3698,0.1425,2.7597
2019-01-12 02:00:00,0.5054,-0.7413,-0.2237,-0.15,-0.3543
2019-01-12 03:00:00,1.1089,-0.3629,-0.2418,-1.0264,-0.2909
2019-01-12 04:00:00,0.7365,0.3014,-2.1504,1.0855,0.3275
2019-01-12 05:00:00,1.6414,-0.0859,1.4542,0.4953,1.3754
2019-01-12 06:00:00,-0.2732,0.3031,1.0314,1.2717,0.0774
2019-01-12 07:00:00,0.7639,-0.8848,0.4708,0.0857,0.5269
2019-01-12 08:00:00,0.9685,-1.8121,0.5112,0.1527,-1.5951
2019-01-12 09:00:00,-0.1046,-0.3065,0.0285,1.1066,1.129
2019-01-12 10:00:00,-1.1017,-0.4882,0.2828,0.0582,-1.5355
2019-01-12 11:00:00,-0.8398,-0.2849,0.2494,-0.7283,-0.5224
2019-01-12 12:00:00,-0.5708,0.1632,-0.589,2.8821,1.7288
2019-01-12 13:00:00,0.8744,0.829,-0.162,0.2596,1.0448
2019-01-12 14:00:00,0.0829,0.6672,0.7309,0.5499,-1.0842
2019-01-12 15:00:00,-0.8211,0.2694,-0.2406,-0.1666,0.5144
2019-01-12 16:00:00,0.3446,-0.9313,1.1833,1.5559,0.5747
2019-01-12 17:00:00,1.2581,-1.1649,0.4719,-1.5846,1.0621
2019-01-12 18:00:00,0.1201,0.4244,-0.815,-0.8505,1.1977
2019-01-12 19:00:00,-0.645,-0.2081,-1.5223,-0.1734,0.7114
2019-01-12 20:00:00,0.6952,1.3888,1.2063,-0.3206,0.2588
2019-01-12 21:00:00,-1.5613,0.3631,0.9506,1.0963,2.5561
2019-01-12 22:00:00,0.4532,-0.8377,0.8107,-0.005,0.67
2019-01-12 23:00:00,0.9284,-1.011,-1.8108,-0.7867,0.4724
2019-01-13 00:00:00,0.9797,0.0476,-0.233,2.0542,1.329
2019-01-13 01:00:00,0.421,1.611,3.2929,0.0645,2.0425
2019-01-13 02:00:00,-0.7744,2.0963,-2.3622,0.9347,-1.2601
2019-01-13 03:00:00,-0.2724,0.0775,1.2403,-1.0488,1.3308
2019-01-13 04:00:00,0.332,-0.9061,-0.5092,0.3842,0.8183
2019-01-13 05:00:00,-0.5557,1.2515,-0.1147,0.2471,0.5532
2019-01-13 06:00:00,-1.5884,-1.7807,-1.1727,0.5817,-0.6306
2019-01-13 07:00:00,2.0446,-0.0435,-1.0168,-0.6975,1.3123
2019-01-13 08:00:00,-0.6767,-0.4165,-1.6971,-1.4202,1.434
2019-01-13 09:00:00,1.1446,0.1843,-0.3121,-2.1899,-0.1093
2019-01-13 10:00:00,1.6633,-0.6057,-0.0351,0.3325,1.1526
2019-01-13 11:00:00,-0.0333,-1.826,-0.8019,0.0109,0.0324
2019-01-13 12:00:00,-0.3711,-1.4306,-0.5734,-1.3564,-0.123
2019-01-13 13:00:00,0.3495,-0.6746,0.2138,-2.3817,0.7523
2019-01-13 14:00:00,-0.8192,0.641,0.6404,1.0529,0.7698
2019-01-13 15:00:00,-0.7632,-0.4154,-0.5972,0.5265,-0.9549
2019-01-13 16:00:00,-1.6766,0.0263,-0.3213,0.4454,0.7818
2019-01-13 17:00:00,1.1084,0.0389,0.2479,-0.7163,-0.5236
2019-01-13 18:00:00,-0.7241,0.4704,-0.5448,-0.0916,-0.3383
2019-01-13 19:00:00,0.224,-0.733,1.4789,0.8679,0.4639
2019-01-13 20:00:00,0.3339,0.4356,0.0443,-2.0028,0.1146
2019-01-13 21:00:00,-0.1917,0.3577,1.5964,-1.0955,1.042
2019-01-13 22:00:00,0.7918,-0.5256,1.8782,0.5421,-1.2049
2019-01-13 23:00:00,-0.7124,0.1663,-0.5033,0.8112,1.6731
2019-01-14 00:00:00,0.4086,-0.4032,-1.4618,-0.6472,0.7694
2019-01-14 01:00:00,1.1317,-1.2718,1.8457,-0.0311,0.6844
2019-01-14 02:00:00,-1.7471,-1.1523,0.0896,1.6537,0.5042
2019-01-14 03:00:00,-0.192,1.0106,0.97,2.147,-1.0425
2019-01-14 04:00:00,-1.5092,-0.8969,-0.2101,-1.4183,-1.2216
2019-01-14 05:00:00,0.2487,0.127,-1.7774,-1.6925,0.5295
2019-01-14 06:00:00,-0.3694,-0.9952,-0.8362,-0.8681,-0.6755
2019-01-14 07:00:00,0.436,-0.0554,-1.0225,0.083,-0.3782
2019-01-14 08:00:00,-0.1795,-0.3968,-2.4068,-0.8475,-0.949
2019-01-14 09:00:00,-1.3317,0.6733,-0.9441,-1.4236,-0.6729
2019-01-14 10:00:00,0.0331,0.2716,0.6223,-0.7132,-1.2143
2019-01-14 11:00:00,-0.5947,-1.5881,1.9716,0.2004,-0.6944
2019-01-14 12:00:00,0.5336,0.0598,-0.7052,-2.9795,0.9067
2019-01-14 13:00:00,1.1573,0.1935,-0.1581,0.2475,0.8282
2019-01-14 14:00:00,-0.429,-0.2135,-1.1449,-0.8232,0.4582
2019-01-14 15:00:00,-2.0765,-0.8406,1.3381,-0.524,0.2421
2019-01-14 16:00:00,2.237,1.2873,0.8739,-0.3749,-1.6179
2019-01-14 17:00:00,-1.1175,-0.3127,-0.6029,-0.0774,-0.7954
2019-01-14 18:00:00,-0.3657,0.8216,-0.4215,0.1405,0.7453
2019-01-14 19:00:00,0.1101,-0.4635,0.736,-1.8069,2.1099
2019-01-14 20:00:00,-0.1885,-0.8959,-2.0179,-0.027,-0.5524
2019-01-14 21:00:00,1.0917,-0.0637,0.8794,1.9827,0.2699
2019-01-14 22:00:00,1.8395,0.663,-1.132,-0.0157,1.1293
2019-01-14 23:00:00,-0.7358,1.8846,-1.1551,-0.3832,1.8222
2019-01-15 00:00:00,2.1932,0.1723,-0.4982,-0.4637,0.9104
2019-01-15 01:00:00,1.2714,1.7777,-0.482,0.4863,0.7521
2019-01-15 02:00:00,-0.3262,-0.1777,0.5987,0.7705,1.338
2019-01-15 03:00:00,0.0291,-2.5343,0.0737,0.8051,1.3784
2019-01-15 04:00:00,-1.1447,-0.7769,0.9263,0.9992,-0.4419
2019-01-15 05:00:00,-0.6651,-0.4418,0.0049,1.3894,-0.0219
2019-01-15 06:00:00,-0.4383,0.0946,-0.4415,-0.5382,0.2077
2019-01-15 07:00:00,-1.2147,0.5043,0.275,1.0681,-0.3044
2019-01-15 08:00:00,-1.1161,-0.5689,-0.5927,1.4518,1.5267
2019-01-15 09:00:00,0.7878,0.1561,-0.0022,-0.0598,0.7939
2019-01-15 10:00:00,-1.3822,-1.2188,-1.2353,-1.0889,-2.0305
2019-01-15 11:00:00,-1.0832,1.0616,-1.1542,-0.818,-1.0518
2019-01-15 12:00:00,-0.6906,0.4271,-1.407,0.995,-0.8408
